Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:05:57.758;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.3;-9;59;LTE;Telkomsel;1850
2022-08-20 12:05:58.002;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87.3;-8.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:05:58.002;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-87.3;-6.6;298;LTE;Fren/Hepi;39194
2022-08-20 12:05:58.043;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-12.5;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:05:58.043;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93.9;-8.2;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:05:58.304;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-81.3;-7.6;240;LTE;XL;1325
2022-08-20 12:05:58.304;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-74.3;-6.6;240;LTE;XL;376
2022-08-20 12:05:58.358;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.6;-9.6;59;LTE;Telkomsel;1850
2022-08-20 12:05:58.603;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-84.9;-5.6;298;LTE;Fren/Hepi;39194
2022-08-20 12:05:58.603;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.2;-7.3;298;LTE;Fren/Hepi;39050
2022-08-20 12:05:58.645;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-93.9;-8.3;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:05:58.645;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-12;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:05:58.907;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-80.3;-8.4;240;LTE;XL;1325
